corporationID,corporationName,size,extent,solarSystemID,investorID1,investorShares1,investorID2,investorShares2,investorID3,investorShares3,investorID4,investorShares4,friendID,enemyID,publicShares,initialPrice,minSecurity,scattered,fringe,corridor,hub,border,factionID,sizeFactor,stationCount,stationSystemCount,description,iconID
1000001,Doomheim,T,L,,,,,,,,,,,,1,0,0.0,,,,,,,,,,The internal corporation used for characters in graveyard.,
1000002,CBD Corporation,H,G,30002780,,,,,,,,,1000006,1000005,30515077373,47,0.0,,,,,,500001,,,,"The CBD Corporation is one of the biggest exporters/importers in Caldari space. The corporation has established trade links far and wide, with a huge amount of goods in constant fluctuation.",1465
1000003,Prompt Delivery,M,R,30000149,,,,,,,,,1000040,1000009,9657087378,5,-1.0,,,,,,500001,,,,"Prompt Delivery is a express delivery company that operates mainly within the Caldari State. They have a fast, efficient, quality service, but the price of this excellence is that they must keep the company small and compact.",1581
1000004,Ytiri,L,N,30001399,,,,,,,,,1000039,1000007,3495338567,40,0.0,,,,,,500001,,,,"Ytiri is a rare example of an outsider company that manages to establish itself within the Caldari State. Formerly an underworld smuggling company, Ytiri adjusted its operation to gain admittance into the State. Since then the company has flourished and is one of the fastest growing companies in Caldari space.",1582
1000005,Hyasyoda Corporation,H,N,30002801,,,,,,,,,1000019,1000002,54422491638,23,0.0,,,,,,500001,,,,"Hyasyoda is one of the oldest of the Caldari mega corporations, having been formed shortly after first contact with the Gallenteans when the Caldari were still in the Industrial Age. It's conservative and cautious, but adheres to the old saying: 'Only the paranoid survive.'",1583
1000006,Deep Core Mining Inc.,M,R,30002775,,,,,,,,,1000013,1000021,1319961277,51,-1.0,,,,,,500001,,,,"Deep Core Mining is a young company that was founded on the basis of a revolutionary new mining drill technology. This new technology, details of which have never been revealed, gives much higher yield than older techniques and has promoted DCM to the top echelon of mining companies very quickly.",1584
1000007,Poksu Mineral Group,L,N,30000152,,,,,,,,,1000003,1000008,19153911310,20,-1.0,,,,,,500001,,,,Poksu was founded by a group of independent miners. Through shrewd business deals and solid mining income Poksu has slowly grown to join the ranks of the big boys in Caldari corporate politics.,1585
1000008,Minedrill,M,N,30001394,,,,,,,,,1000035,1000012,7843253908,65,-1.0,,,,,,500001,,,,"Minedrill traces its history back to the war with the Federation, to a special force unit within the Caldari Navy that rigged asteroids with explosives and used them as booby traps. After the war the personnel in the unit created Minedrill and used their special knowledge to quickly gain prominence within the mining industry.",1586
1000009,Caldari Provisions,L,N,30002800,,,,,,,,,1000043,1000024,2750495824,38,0.0,,,,,,500001,,,,"Caldari Provisions is one of the companies that were created by war veterans of the Gallente-Caldari War. Specializing in the distribution of supply and logistics, Caldari Provisions have carved themselves a nice little niche within the Caldari State and are looking towards expanding their operation in other empires.",1587
1000010,Kaalakiota Corporation,H,G,30001401,,,,,,,,,1000028,1000017,35200134523,81,0.0,,,,,,500001,,,,"The largest of the Caldari mega corporations, the KK, as it is commonly known as, has its fingers in most everything. They are manufacturers, distributors, retailers and researchers, as well as being a formidable voice in Caldari politics. Their great rivals in both business and politics is the Sukuuvestaa Corporation.",1588
1000011,Wiyrkomi Corporation,L,G,30001356,,,,,,,,,1000014,1000025,27391794718,67,0.0,,,,,,500001,,,,"Wiyrkomi is one of the two Caldari mega corporations where the largest shareholders is a family. Wiyrkomi is still owned by the founding Seituoda family, a name that has always been associated with honor and trustworthiness in Caldari business.",1589
1000012,Top Down,M,C,30001409,,,,,,,,,1000009,1000027,1514575995,36,0.0,,,,,,500001,,,,"Top Down is a small manufacturing company that specializes in component assembling. It is owned by the Lai Dai corporation, which provides it with new technology to keep up with other manufacturing companies. Although Top Down has never really taken off, many believe their products to be of the highest quality on the market, as befits a company associated with Lai Dai.",1590
1000013,Rapid Assembly,M,N,30002775,,,,,,,,,1000002,,5762297843,29,0.0,,,,,,500001,,,,"Manufacturer of cheap gadgets and low-level equipment, Rapid Assembly is by no means a driving force in the manufacturing sector. By catering to low-budget buyers they fill an important niche, unsexy as it may be.",1591
1000014,Perkone,L,N,30002805,,,,,,,,,1000033,1000013,7862072981,77,0.0,,,,,,500001,,,,"One of the few remaining Caldari corporations that were founded during the Industrial Age on Caldari Prime, before the arrival of the Gallenteans. Perkone took to the Gallenteans like ducks to water and had its glory days in the years leading up to the war with the Federation. After the war Perkone has struggled, but still manages to produce solid, high quality equipment.",1592
1000015,Caldari Steel,L,N,30000147,,,,,,,,,1000034,1000014,9148657445,12,0.0,,,,,,500001,,,,Founded during the Gallente-Caldari War to feed the Caldari war machine. Changed focus slightly after the war but still prides itself of its missile systems.,1593
