certificateID,groupID,classID,grade,name,description
50,255,255,1,Small Energy Turret,"This certificate represents a level of competence in handling small energy turrets. The holder has learned that pulse lasers are short range weapons, beam lasers are long range, and both use crystal ammunition which can be swapped with no reload time. This is a good skillset for capsuleers specializing in small Amarr vessels based on Frigate and Destroyer hulls."
64,255,255,1,Medium Energy Turret,"This certificate represents a level of competence in handling medium energy turrets. The holder has learned that pulse lasers are short range weapons, beam lasers are long range, and both use crystal ammunition which can be swapped with no reload time. This is a good skillset for capsuleers specializing in medium Amarr vessels based on Cruiser and Battlecruiser hulls."
65,255,255,1,Large Energy Turret,"This certificate represents a level of competence in handling large energy turrets. The holder has learned that pulse lasers are short-range weapons, beam lasers are long range, and that both use crystal ammunition which can be swapped with no reload time. This is a good skillset for capsuleers specializing in medium to large Amarr vessels based on the Battlecruiser and Battleship hulls."
66,255,255,1,Capital Energy Turret,"This certificate represents a level of competence in handling capital energy turrets. The holder has learned that pulse lasers are short-range weapons, beam lasers are long range, and that both use crystal ammunition which can be swapped with no reload time. This is a good skillset for capsuleers specializing in capital Amarr vessels based on Dreadnought and Titan hulls."
67,255,255,1,Small Hybrid Turret,"This certificate represents a level of competence in handling small hybrid turrets. The holder has learned that blasters are extremely close range weapons, while railguns are their counterpart at very long range, and that both use hybrid charges as ammunition. This is a good skillset for capsuleers specializing in small Caldari or Gallente vessels based on Frigate and Destroyer hulls."
68,255,255,1,Medium Hybrid Turret,"This certificate represents a level of competence in handling medium hybrid turrets. The holder has learned that blasters are extremely close range weapons, while railguns are their counterpart at very long range, and that both use hybrid charges as ammunition. This is a good skillset for capsuleers specializing in medium Caldari or Gallente vessels based on Cruiser and Battlecruiser hulls."
69,255,255,1,Large Hybrid Turret,"This certificate represents a level of competence in handling large hybrid turrets. The holder has learned that blasters are extreme close range weapons, while railguns are their counterpart at very long range, and that both use hybrid charges as ammunition. This is a good skillset for capsuleers specializing in medium to large Caldari or Gallente vessels based on the Battlecruiser and Battleship hulls."
70,255,255,1,Capital Hybrid Turret,"This certificate represents a level of competence in handling capital hybrid turrets. The holder has learned that blasters are extreme close range weapons, while railguns are their counterpart at very long range, and that both use hybrid charges as ammunition. This is a good skillset for capsuleers specializing in capital Gallente vessels based on Dreadnought and Titan hulls."
71,255,255,1,Small Projectile Turret,"This certificate represents a level of competence in handling small projectile turrets. The holder has learned that autocannons are close range weapons, while artillery cannons are medium to long range turrets with good alpha damage. This is a good skillset for capsuleers specializing in small Minmatar vessels based on Frigate and Destroyer hulls."
72,255,255,1,Medium Projectile Turret,"This certificate represents a level of competence in handling medium projectile turrets. The holder has learned that autocannons are close range weapons, while artillery cannons are medium to long range turrets with good alpha damage. This is a good skillset for capsuleers specializing in medium Minmatar vessels based on Cruiser and Battlecruiser hulls."
73,255,255,1,Large Projectile Turret,"This certificate represents a level of competence in handling large projectile turrets. The holder has learned that autocannons are close range weapons, while artillery cannons are medium to long range turrets with good alpha damage. This is a good skillset for capsuleers specializing in medium to large Minmatar vessels based on the Battlecruiser and Battleship hulls."
74,255,255,1,Capital Projectile Turret,"This certificate represents a level of competence in handling capital projectile turrets. The holder has learned that autocannons are close range weapons, while artillery cannons are medium to long range turrets with good alpha damage. This is a good skillset for capsuleers specializing in capital Minmatar vessels based on Dreadnought and Titan hulls."
75,256,256,1,Small Missiles,This certificate represents a level of competence in operating small missile launchers. The holder has learned rocket and light missile launchers are short range weapons with a delayed time to impact. This is a good skillset for capsuleers specializing in small Caldari or Minmatar vessels based on Frigate and Destroyer hulls.
76,256,256,1,Medium Missiles,"This certificate represents a level of competence in operating medium missile launchers. The holder has learned that rapid light missile, heavy assault missiles and heavy missile launchers are short to medium range weapons with a delayed time to impact. This is a good skillset for capsuleers specializing in medium Caldari or Minmatar vessels based on Cruiser and Battlecruiser hulls."
77,256,256,1,Large Missiles,"This certificate represents a level of competence in operating large missile launchers. The holder has learned that rapid heavy missile, torpedoes and cruise missile launchers are medium to long range weapons with a delayed time to impact. This is a good skillset for capsuleers specializing in large Caldari or Minmatar vessels based on the Battleship hulls."
78,256,256,1,Capital Missiles,This certificate represents a level of competence in operating capital missile launchers. The holder has learned that XL torpedoes and cruise missiles are medium to long range weapons with a delayed time to impact. This is a good skillset for capsuleers specializing in capital Caldari vessels based on Dreadnought and Titan hulls.
79,256,256,1,Stealth Bomber Missiles,This certificate represents a level of competence in the deployment of timed munitions. The holder has learned that bombs are launched straight ahead and travel for a period of time before detonating. This is a good skillset for capsuleers specializing in Stealth Bombers Tech II Covert Ops Frigates.
81,273,273,1,Fighters,This certificate represents a level of competence in the control of all fighters. This is a good skillset for capsuleers specializing in capital vessels of all factions based on the Carrier hulls.
82,273,273,1,Heavy Fighters,This certificate represents a level of competence in the control of all heavy fighters. The holder has learned that heavy fighters are advanced fighters that may be destroyed in combat and are specifically designed to attack capital ships. This is a good skillset for capsuleers specializing in capital vessels of all factions based on the Supercarrier hulls.
83,273,273,1,Industrial Drones,"This certificate represents a level of competence in the control of all industry-related drones, including mining and salvaging variations. The holder has learned that drones may be targeted and destroyed in combat. This is a good skillset for capsuleers dedicated to resource retrieval operations and fit well with ORE vessels."
84,273,273,1,Support Drones,"This certificate represents a level of competence in the control of all logistics drones, including armor and shield maintenance variations. The holder has learned that drones may be destroyed in combat and that maintenance drones cannot be used on their owner's own vessel. This is a good skillset for capsuleers specializing in Logistic ships."
85,1209,1209,1,Shield Tanking,"This certificate represents a level of competence in active and passive shield-based defense. The holder has learned that it's generally wise to concentrate on one particular area of defense, such as armor or shields, on a given ship. This is a good skillset for capsuleers specializing in Caldari, Minmatar vessels or any kind of ship boasting plenty of med slots to spare."
86,1209,1209,1,Capital Shield Tanking,"This certificate represents a level of competence in capital shield-based defense. The holder has learned that it's generally wise to concentrate on one particular area of defense, such as armor or shields, on a given ship. This is a good skillset for capsuleers specializing in Caldari and Minmatar capital ships."
87,1209,1209,1,Remote Shield Booster,"This certificate represents a level of competence in remote shield support. The holder has learned that assistance rendered to other vessels involved in combat may make the vessel providing assistance a legal target. This is a good skillset for any kind of dedicated Support Frigate, Cruiser or Logistics vessel."
88,1209,1209,1,Capital Remote Shield Booster,"This certificate represents a level of competence in remote capital shield support. The holder has learned that assistance rendered to other vessels involved in combat may make the vessel providing assistance a legal target. This is a good skillset for Caldari, Gallente and Minmatar Carriers and Supercarriers."
89,1210,1210,1,Armor Tanking,"This certificate represents a level of competence in active and passive armor-based defense. The holder has learned that it's generally wise to concentrate on one particular area of defense, such as armor or shields, on a given ship. This is a good skillset for capsuleers specializing in Amarr or Gallente vessels or any kind of ship boasting plenty of low slots to spare."
90,1210,1210,1,Capital Armor Tanking,"This certificate represents a level of competence in capital armor-based defense. The holder has learned that it's generally wise to concentrate on one particular area of defense, such as armor or shields, on a given ship. This is a good skillset for capsuleers specializing in Amarr or Gallente capital ships."
91,1210,1210,1,Remote Armor Repairer,"This certificate represents a level of competence in remote armor support. The holder has learned that assistance rendered to other vessels involved in combat may make the vessel providing assistance a legal target. This is a good skillset for any kind of dedicated Support Frigate, Cruiser or Logistics vessel."
92,1210,1210,1,Capital Remote Armor Repairer,"This certificate represents a level of competence in remote capital armor support. The holder has learned that assistance rendered to other vessels involved in combat may make the vessel providing assistance a legal target. This is a good skillset for Amarr, Gallente, Minmatar Carriers and Supercarriers."
93,1213,1213,1,Radar Target Management,This certificate represents a level of competence with Radar targeting systems. It certifies that the holder has some skill in target acquisition and management and can make use of a range of targeting-related modules. This is a critical skillset for any capsuleer facing combat.
94,275,275,1,Navigation,This certificate represents a level of competence with ship propulsion and speed enhancing modules like Afterburners and Microwarpdrives. The holder has learned that those modules consume a fair amount of capacitor while active. This is a critical skillset for any kind of operation in hazardous space.
95,275,275,1,Capital Navigation,"This certificate represents a level of competence with capital ships. The holder has learned that capital ships can use both stargates and their own jump drives to navigate, and that the latter causes them to accumulate jump fatigue. This is a critical skillset for any kind of capital ship movement."
96,1216,1216,1,Core Spaceship Operation,"This certificate represents a level of competence in ship CPU, power grid and capacitor usage. This is a critical skillset for any capsuleer wishing to increase their tactical options in combat."
97,1216,1216,1,Capacitor Emission,"This certificate represents a level of competence in remote capacitor support. This is a good skillset for any kind of dedicated Support Frigate, Cruiser or Logistics vessel."
98,1216,1216,1,Capital Capacitor Emission,This certificate represents a level of competence in remote capital capacitor support. This is a good skillset for Amarr and Caldari Carriers and Supercarriers.
99,272,272,1,Tackling,"This certificate represents a level of competence in the operation of propulsion jamming modules, Stasis Webifiers, Warp Scramblers and Warp Disruptors. The holder has learned that webbers decrease the target's speed, while scramblers and disruptors prevent them from warping. This is a critical skillset for any capsuleer wishing to dictate the terms of a fight."
100,272,272,1,Electronic Counter Measures,"This certificate represents a level of competence in the operation of Electronic Counter Measures (ECM) modules. The holder has learned ECM is a chance-based tool that, when successful, prevents the target from holding target locks. This is a good skillset for capsuleers specializing in small, medium or large Caldari Disruption vessels based on Frigate, Cruiser and Battleship hulls."
101,272,272,1,Sensor Dampening,"This certificate represents a level of competence in the operation of Remote Sensor Dampener (RSD) modules. The holder has learned that RSDs reduce the target's locking speed and locking range, making it difficult for them to acquire a target lock. This is a good skillset for capsuleers specializing in small or medium Gallente Disruption vessels based on Frigate and Cruiser hulls."
102,272,272,1,Tracking Disruption,"This certificate represents a level of competence in the operation of Tracking Disruptor (TD) modules. The holder has learned that TDs decrease the Optimal Range, Falloff and Tracking on the target's turrets, making it harder for their turret weapons to hit. This is a good skillset for capsuleers specializing in small or medium Amarr Disruption vessels based on Frigate and Cruiser hulls."
103,272,272,1,Target Painting,"This certificate represents a level of competence in the operation of Target Painter modules. The holder has learned that Target Painters increase the target's signature radius, allowing it to be locked onto faster and causing most weapons systems to inflict additional damage on it. This is a good skillset for capsuleers specializing in small or medium Minmatar Disruption vessels based on the Frigate and Cruiser hulls."
104,1217,1217,1,Scanning,This certificate represents a level of competence in scanning. The holder has learned that scan probes are a specialized tool that may be used to find hidden content or to track down capsuleers inside a solar system. This is a good skillset for capsuleers specializing in Exploration vessels as a whole.
105,1217,1217,1,Data and Relic Analyzers,"This certificate represents a level of competence in the operation of analyzer modules, like Data and Relic Analyzers. The holder has learned that those modules are used in various sites related to exploration. This is a good skillset for capsuleers specializing in Exploration vessels as a whole."
106,1218,1218,1,Resource Harvesting,"This certificate represents a level of competence in mining, ice harvesting and gas cloud harvesting. This is a good skillset for capsuleers specializing in ORE vessels."
107,1218,1218,1,Salvaging,This certificate represents a level of competence in the operation of salvaging modules. The holder has learned that salvager modules allow the extraction of components from ship wrecks. This is a good skillset for capsuleers specializing in ORE haulers or industrial ships.
108,272,272,1,Cloaking,This certificate represents a level of competence in the operation of cloaking devices. The holder has learned that cloaks cannot be activated within 2000m of most objects and spatial phenomena. This is a good skillset for capsuleers specializing in Exploration or Disruption vessels.
109,258,258,1,Armored Command Bursts,This certificate represents a level of competence in leadership fleet support through Armored Command Bursts. The holder has learned that Armored Command Bursts do not work inside a Starbase Forcefield. This is a good skillset for capsuleers specializing in Battlecruisers or Command Ships.
110,258,258,1,Foreman Mining Bursts,This certificate represents a level of competence in mining operation leadership through Foreman Mining Bursts. This is a good skillset for capsuleers specializing in Industrial Command Ships or Capital Industrial Command Ships.
111,274,274,1,Trade,"This certificate represents a level of competence with Trade skills, making market activity more profitable. This is a good skillset for any capsuleer wishing to lower expenses in the marketplace."
112,278,278,1,Social,This certificate represents a level of competence in social connections and standings. This is a good skillset for capsuleers wishing to improve their relations with various factions and their agents.
113,268,268,1,Tech I Manufacturing,This certificate represents a level of competence in Tech I sub-capital ships and items production. This is a good skillset for players wishing to build their own products.
114,1218,1218,1,Reprocessing,This certificate represents a level of competence in various kinds of resource reprocessing. This is a good skillset for resource-harvesting capsuleers that wish to sell their materials or use them for production.
117,1209,1209,1,Shield Reinforcement,This certificate represents a level of competence in passive shield buffers. It is mainly used to maximize Effective Hitpoints (EHP) on highly competitive ship fittings. This is a good skillset for capsuleers looking to get the most shield buffer possible on their vessel.
118,1210,1210,1,Armor Reinforcement,This certificate represents a level of competence in passive armor buffers. It is mainly used to maximize Effective Hitpoints (EHP) on highly competitive ship fittings. This is a good skillset for capsuleers looking to get the most armor buffer possible on their vessel.
119,1241,1241,1,Planetary Industry,This certificate represents the ability to survey and manage planet colonies in order to maximize resource extraction from their soil. The holder has learned that Command Centers have to be manually launched into Temperate planets before a colony may be founded. This is a good skillset for capsuleers wishing to develop an additional source of income.
120,272,272,1,Sensor Linking,This certificate represents a level of competence in the operation of Remote Sensor Booster (RSB) modules. The holder has learned that RSBs improve the target max targeting range and scan resolution. This is a good skillset for capsuleers specializing in Gallente or Minmatar Logistics vessels.
132,266,266,1,Corporation Management,This certificate represents a level of competence in corporation holding. It is a good skill set for a CEO to increase the maximum number of corporation members and races.
133,273,273,1,All Combat Drones,"This certificate represents a level of competence in the control of all combat-related drones, including light, medium, heavy and sentry variations. The holder has learned that drones may be targeted and destroyed in combat. This is a good skillset for any combat-oriented capsuleer as many ships from all factions augment their capabilities through the use of drones."
138,275,275,1,Battleship Navigation,"This certificate represents level of competence which ship propulsion and speed enhancing modules like Afterburners, Microwarpdrives and Micro Jump Drives. The holder is aware that those modules consume a fair amount of capacitor while active. This is a critical skill set to have for any kind of operation in hazardous space."
139,1213,1213,1,Gravimetric Target Management,This certificate represents a level of competence with Gravimetric targeting systems. It certifies that the holder has some skill in target acquisition and management and can make use of a range of targeting-related modules. This is a critical skillset for any capsuleer facing combat.
140,1213,1213,1,Magnetometric Target Management,This certificate represents a level of competence with Magnetometric targeting systems. It certifies that the holder has some skill in target acquisition and management and can make use of a range of targeting-related modules. This is a critical skillset for any capsuleer facing combat.
141,1213,1213,1,Ladar Target Management,This certificate represents a level of competence with Ladar targeting systems. It certifies that the holder has some skill in target acquisition and management and can make use of a range of targeting-related modules. This is a critical skillset for any capsuleer facing combat.
142,1213,1213,1,Advanced Target Management,"This certificate represents a level of competence with advanced targeting systems. It certifies that the holder can lock more than seven targets at the same time. This is a good skillset to have for any capsuleer training for specialized ships, like Logistics or Marauders."
144,275,275,1,Navigation Support,This certificate represents a level of competence with ship propulsion. It is mainly used to minimize travel time on vessels without module slots. This is a good skillset for capsuleers looking to maximize general navigation performance.
145,275,275,1,Jump Drive,This certificate represents a level of competence with ship jump drives. The holder has learned that jump drives consume fuel based on distance and allow the user to navigate without the use of Stargates. This is a critical skillset for any kind of capital or Black Ops movement.
146,1213,1213,1,Supercapital Target Management,This certificate represents a level of competence with supercapital targeting systems. It certifies that the holder has some skill in target acquisition and management and can make use of a range of targeting-related modules. This is a critical skillset for any capsuleer facing combat.
147,255,255,1,Tactical Weapon Reconfiguration,"This certificate represents a level of competence in handling Siege Modules. The holder has learned that Siege Modules may only be used on Dreadnoughts, improving their offensive and defensive capabilities at the expense of mobility. This is a critical skillset for capsuleers specializing in Dreadnought hulls."
148,272,272,1,Tactical Logistics Reconfiguration,"This certificate represents a level of competence in handling Triage Modules. The holder has learned that Triage Modules may only be used on Carriers, improving their remote assisting capabilities at the expense of mobility. This is a critical skillset for capsuleers specializing in Carrier hulls."
149,1218,1218,1,Industrial Reconfiguration,"This certificate represents a level of competence in handling Industrial Core modules. The holder has learned that Industrial Cores may only be used on Capital Industrial Ships, improving their resource processing abilities at the expense of mobility. This is a good skillset for capsuleers specializing in Industrial Capital Ship hulls."
150,1216,1216,1,Core Weapon Fitting,This certificate represents a level of competence in weapons CPU and power grid usage. This is a critical skillset for any capsuleer wishing to increase their tactical options in combat.
151,275,275,1,Freighter Navigation,This certificate represents a level of competence with Freighter ship propulsion. The holder has learned that those ships are slow and vulnerable when aligning to celestial objects. This is a good skillset for any capsuleer specializing in Freighter hulls.
152,258,258,1,Information Command Bursts,This certificate represents a level of competence in leadership fleet support through Information Command Bursts. The holder has learned that Information Command Bursts do not work inside a Starbase Forcefield. This is a good skillset for capsuleers specializing in Battlecruisers or Command Ships.
153,258,258,1,Skirmish Command Bursts,This certificate represents a level of competence in leadership fleet support through Skirmish Command Bursts. The holder has learned that Skirmish Command Bursts do not work inside a Starbase Forcefield. This is a good skillset for capsuleers specializing in Battlecruisers or Command Ships.
154,258,258,1,Shield Command Bursts,This certificate represents a level of competence in leadership fleet support through Shield Command Bursts. The holder has learned that Shield Command Bursts do not work inside a Starbase Forcefield. This is a good skillset for capsuleers specializing in Battlecruisers or Command Ships.
164,273,273,1,Light Drones,This certificate represents level of competence in the control of light combat drones. The holder has learned that drones may be targeted and destroyed in combat. This is a good skillset for any combat-oriented capsuleer as many ships from all factions augment their capabilities through the use of drones.
165,273,273,1,Medium Drones,This certificate represents level of competence in the control of light and medium combat drones. The holder has learned that drones may be targeted and destroyed in combat. This is a good skillset for any combat-oriented capsuleer as many ships from all factions augment their capabilities through the use of drones.
167,268,268,1,Tech I Capital Manufacturing,This certificate represents a level of competence in Tech I capital ships and items production. This is a good skillset for players wishing to build their own products.
168,268,268,1,Manufacturing Operations,This certificate represents a level of competence in handling remote access and simultaneous use of manufacturing activities. This is a good skillset for players wishing to build their own products.
169,268,268,1,Advanced Amarr Spaceship Technology,This certificate represents a level of competence in handling invention and manufacturing of Tech II Amarr ship hulls. This is a good skillset for players wishing to invent that faction's Tech II ship blueprints or build their own products.
170,268,268,1,Advanced Caldari Spaceship Technology,This certificate represents a level of competence in handling invention and manufacturing of Tech II Caldari ship hulls. This is a good skillset for players wishing to invent that faction's Tech II ship blueprints or build their own products.
171,268,268,1,Advanced Gallente Spaceship Technology,This certificate represents a level of competence in handling invention and manufacturing of Tech II Gallente ship hulls. This is a good skillset for players wishing to invent that faction's Tech II ship blueprints or build their own products.
172,268,268,1,Advanced Minmatar Spaceship Technology,This certificate represents a level of competence in handling invention and manufacturing of Tech II Minmatar ship hulls. This is a good skillset for players wishing to invent that faction's Tech II ship blueprints or build their own products.
173,268,268,1,Advanced Small Spaceship Manufacturing,This certificate represents a level of competence in handling invention and manufacturing of Tech II small ship hulls. This is a good skillset for players wishing to build their own products.
