effectID,effectName,effectCategory,preExpression,postExpression,description,guid,iconID,isOffensive,isAssistance,durationAttributeID,trackingSpeedAttributeID,dischargeAttributeID,rangeAttributeID,falloffAttributeID,disallowAutoRepeat,published,displayName,isWarpSafe,rangeChance,electronicChance,propulsionChance,distribution,sfxName,npcUsageChanceAttributeID,npcActivationChanceAttributeID,fittingUsageChanceAttributeID,modifierInfo
4,shieldBoosting,1,,,None,effects.ShieldBoosting,,0,0,73,,6,,,0,0,shieldBoosting,1,0,0,0,,,,,,"null
...
"
9,missileLaunching,2,,,None,effects.MissileDeployment,,1,0,,,,,,0,0,missileLaunching,0,0,0,0,,,,,,"null
...
"
10,targetAttack,2,,,None,effects.Laser,,1,0,51,160,6,54,158,0,0,targetAttack,0,0,0,0,,,,,,"null
...
"
11,loPower,0,,,Requires a low power slot,,295,0,0,,,,,,0,1,Low power,0,0,0,0,,,,,,"null
...
"
12,hiPower,0,,,Requires a high power slot,,293,0,0,,,,,,0,1,High power,0,0,0,0,,,,,,"null
...
"
13,medPower,0,,,Requires a medium power slot,,294,0,0,,,,,,0,1,Medium power,0,0,0,0,,,,,,"null
...
"
16,online,1,,,None,,,0,0,,,,,,0,0,online,0,0,0,0,,,,,,"null
...
"
17,mining,2,,,None,effects.Mining,,0,0,73,,,54,,0,0,mining,0,0,0,0,,,,,,"null
...
"
18,shieldTransfer,2,,,None,effects.ShieldTransfer,,0,1,73,,6,87,,0,0,shieldTransfer,0,0,0,0,,,,,,"null
...
"
21,shieldCapacityBonusOnline,4,,,None,,,0,0,,,,,,0,0,shieldCapacityBonusOnline,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 263
  modifyingAttributeID: 72
  operation: 2
"
25,capacitorCapacityBonus,4,,,None,,,0,0,,,,,,0,0,capacitorCapacityBonus,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 482
  modifyingAttributeID: 67
  operation: 2
"
26,structureRepair,1,,,None,effects.StructureRepair,,0,0,73,,6,,,0,0,structureRepair,1,0,0,0,,,,,,"null
...
"
27,armorRepair,1,,,None,effects.ArmorRepair,,0,0,73,,6,,,0,0,armorRepair,1,0,0,0,,,,,,"null
...
"
34,projectileFired,2,,,None,effects.ProjectileFired,,1,0,51,160,6,54,158,0,0,projectileFired,0,0,0,0,,,,,,"null
...
"
38,empWave,1,,,None,effects.EMPWave,,1,0,73,,6,99,,0,0,empWave,0,0,0,0,,,,,,"null
...
"
39,warpDisrupt,2,,,None,effects.WarpDisrupt,,1,0,73,,6,54,,0,0,warpDisrupt,0,0,0,0,,,,,,"- domain: targetID
  func: ItemModifier
  modifiedAttributeID: 104
  modifyingAttributeID: 105
  operation: 2
"
40,launcherFitted,0,,,Requires a launcher hardpoint,,168,0,0,,,,,,0,1,Launcher,0,0,0,0,,,,,,"null
...
"
42,turretFitted,0,,,Requires a turret hardpoint,,1432,0,0,,,,,,0,1,Turret,0,0,0,0,,,,,,"null
...
"
46,shipScan,2,,,None,effects.ShipScan,,0,0,73,,6,125,510,0,0,shipScan,0,0,0,0,,,,,,"null
...
"
47,cargoScan,2,,,None,effects.CargoScan,,0,0,73,,6,126,,0,0,cargoScan,0,0,0,0,,,,,,"null
...
"
48,powerBooster,1,,,None,,,0,0,73,,,,,0,0,powerBooster,1,0,0,0,,,,,,"null
...
"
50,modifyShieldRechargeRate,4,,,None,,,0,0,,,,,,0,0,modifyShieldRechargeRate,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 479
  modifyingAttributeID: 134
  operation: 4
"
51,modifyPowerRechargeRate,4,,,None,,,0,0,,,,,,0,0,modifyPowerRechargeRate,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 55
  modifyingAttributeID: 144
  operation: 4
"
54,targetPassively,2,,,None,,,0,0,73,,6,,,0,0,targetPassively,0,0,0,0,,,,,,"null
...
"
55,targetHostiles,1,,,None,,,0,0,73,,6,,,0,0,targetHostiles,0,0,0,0,,,,,,"null
...
"
56,powerOutputMultiply,4,,,None,,,0,0,,,,,,0,0,powerOutputMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 11
  modifyingAttributeID: 145
  operation: 4
"
57,shieldCapacityMultiply,4,,,None,,,0,0,,,,,,0,0,shieldCapacityMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 263
  modifyingAttributeID: 146
  operation: 4
"
58,capacitorCapacityMultiply,4,,,None,,,0,0,,,,,,0,0,capacitorCapacityMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 482
  modifyingAttributeID: 147
  operation: 4
"
59,cargoCapacityMultiply,4,,,None,,,0,0,,,,,,0,0,cargoCapacityMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 38
  modifyingAttributeID: 149
  operation: 4
"
60,structureHPMultiply,4,,,None,,,0,0,,,,,,0,0,structureHPMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 9
  modifyingAttributeID: 150
  operation: 4
"
61,agilityBonus,0,,,None,,,0,0,,,,,,0,0,agilityBonus,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 70
  modifyingAttributeID: 2690
  operation: 2
"
63,armorHPMultiply,4,,,None,,,0,0,,,,,,0,0,armorHPMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 265
  modifyingAttributeID: 148
  operation: 4
"
67,miningLaser,2,,,None,effects.Laser,,0,0,73,,6,54,,0,0,miningLaser,0,0,0,0,,,,,,"null
...
"
70,agilityMultiply,0,,,None,,,0,0,,,,,,0,0,agilityMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 70
  modifyingAttributeID: 169
  operation: 4
"
73,repairCostMultiply,0,,,None,,,0,0,,,,,,0,0,repairCostMultiply,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 187
  modifyingAttributeID: 187
  operation: 4
"
81,surveyScan,1,,,None,effects.SurveyScan,,0,0,73,,6,197,,0,0,surveyScan,0,0,0,0,,,,,,"null
...
"
82,corporationMemberLimitBonus,0,,,None,,,0,0,,,,,,0,0,corporationMemberLimitBonus,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 190
  modifyingAttributeID: 191
  operation: 2
"
87,cpuUsageMultiply,0,,,None,,,0,0,,,,,,0,0,cpuUsageMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationModifier
  modifiedAttributeID: 50
  modifyingAttributeID: 202
  operation: 4
"
88,miningDurationMultiply,0,,,None,,,0,0,,,,,,0,0,miningDurationMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 54
  modifiedAttributeID: 73
  modifyingAttributeID: 203
  operation: 4
"
89,projectileWeaponSpeedMultiply,4,,,None,,,0,0,,,,,,0,0,projectileWeaponSpeedMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 55
  modifiedAttributeID: 51
  modifyingAttributeID: 204
  operation: 4
"
91,energyWeaponDamageMultiply,4,,,None,,,0,0,,,,,,0,0,energyWeaponDamageMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 53
  modifiedAttributeID: 64
  modifyingAttributeID: 64
  operation: 4
"
92,projectileWeaponDamageMultiply,4,,,None,,,0,0,,,,,,0,0,projectileWeaponDamageMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 55
  modifiedAttributeID: 64
  modifyingAttributeID: 64
  operation: 4
"
93,hybridWeaponDamageMultiply,4,,,None,,,0,0,,,,,,0,0,hybridWeaponDamageMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 64
  modifyingAttributeID: 64
  operation: 4
"
95,energyWeaponSpeedMultiply,4,,,None,,,0,0,,,,,,0,0,energyWeaponSpeedMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 53
  modifiedAttributeID: 51
  modifyingAttributeID: 204
  operation: 4
"
96,hybridWeaponSpeedMultiply,4,,,None,,,0,0,,,,,,0,0,hybridWeaponSpeedMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 51
  modifyingAttributeID: 204
  operation: 4
"
97,turretWeaponAccuracyMultiply,0,,,None,,,0,0,,,,,,0,0,turretWeaponAccuracyMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 55
  modifiedAttributeID: 205
  modifyingAttributeID: 205
  operation: 4
- domain: shipID
  func: LocationGroupModifier
  groupID: 53
  modifiedAttributeID: 205
  modifyingAttributeID: 205
  operation: 4
- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 205
  modifyingAttributeID: 205
  operation: 4
"
100,hybridWeaponAccuracyMultiply,0,,,None,,,0,0,,,,,,0,0,hybridWeaponAccuracyMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 205
  modifyingAttributeID: 205
  operation: 4
"
101,useMissiles,1,,,None,,,0,0,51,,6,,,0,0,useMissiles,0,0,0,0,,,,,,"null
...
"
102,mineLaying,1,,,None,,,1,0,,,,,,0,0,mineLaying,0,0,0,0,,,,,,"null
...
"
103,defenderMissileLaunching,1,,,None,,,0,0,,,,,,0,0,defenderMissileLaunching,0,0,0,0,,,,,,"null
...
"
104,fofMissileLaunching,1,,,None,effects.MissileDeployment,,1,0,,,,,,0,0,fofMissileLaunching,0,0,0,0,,,,,,"null
...
"
105,shieldResonanceMultiplyOnline,4,,,None,,,0,0,,,,,,0,0,shieldResonanceMultiplyOnline,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 274
  modifyingAttributeID: 130
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 273
  modifyingAttributeID: 131
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 271
  modifyingAttributeID: 133
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 272
  modifyingAttributeID: 132
  operation: 4
"
106,miningAmountMultiply,0,,,None,,,0,0,,,,,,0,0,miningAmountMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 54
  modifiedAttributeID: 77
  modifyingAttributeID: 207
  operation: 4
"
107,characterMissileDamageMultiply,0,,,None,,,0,0,,,,,,0,0,characterMissileDamageMultiply,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 212
  modifyingAttributeID: 213
  operation: 2
"
109,turretWeaponCapacitorNeedMultiply,0,,,Scales the capacitor need for all the fitted turret weapons.,,,0,0,,,,,,0,1,turretWeaponCapacitorMultiply,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 55
  modifiedAttributeID: 6
  modifyingAttributeID: 216
  operation: 4
- domain: shipID
  func: LocationGroupModifier
  groupID: 53
  modifiedAttributeID: 6
  modifyingAttributeID: 216
  operation: 4
- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 6
  modifyingAttributeID: 216
  operation: 4
"
110,characterBlueprintResearchTimeBonus,0,,,None,,,0,0,,,,,,0,0,characterBlueprintResearchTimeBonus,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 218
  modifyingAttributeID: 220
  operation: 2
"
111,characterBlueprintManufactureTimeBonus,0,,,None,,,0,0,,,,,,0,0,characterBlueprintManufactureTimeBonus,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 221
  modifyingAttributeID: 222
  operation: 2
"
112,characterCharismaSkillTrainingTimeBonus,0,,,None,,,0,0,,,,,,0,0,characterCharismaSkillTrainingTimeBonus,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 223
  modifyingAttributeID: 228
  operation: 2
"
113,characterIntelligenceSkillTrainingTimeBonus,0,,,None,,,0,0,,,,,,0,0,characterIntelligenceSkillTrainingTimeBonus,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 224
  modifyingAttributeID: 229
  operation: 2
"
114,characterMemorySkillTrainingTimeBonus,0,,,None,,,0,0,,,,,,0,0,characterMemorySkillTrainingTimeBonus,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 225
  modifyingAttributeID: 230
  operation: 2
"
115,characterPerceptionSkillTrainingTimeBonus,0,,,None,,,0,0,,,,,,0,0,characterPerceptionSkillTrainingTimeBonus,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 226
  modifyingAttributeID: 231
  operation: 2
"
116,characterWillpowerSkillTrainingTimeBonus,0,,,None,,,0,0,,,,,,0,0,characterWillpowerSkillTrainingTimeBonus,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 227
  modifyingAttributeID: 232
  operation: 2
"
118,electronicAttributeModifyOnline,4,,,None,,,0,0,,,,,,0,0,electronicAttributeModifyOnline,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 76
  modifyingAttributeID: 237
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 79
  modifyingAttributeID: 242
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 192
  modifyingAttributeID: 235
  operation: 2
"
