masteryID,certificateID,grade
1,96,0
2,139,0
3,85,0
4,87,0
5,94,0
6,96,1
7,139,1
8,85,1
9,87,1
10,94,1
11,96,2
12,139,2
13,85,2
14,87,2
15,94,2
16,96,3
17,139,3
18,85,3
19,87,3
20,94,3
21,96,4
22,139,4
23,85,4
24,118,4
25,87,4
26,94,4
27,96,0
28,99,0
29,150,0
30,75,0
31,139,0
32,85,0
33,94,0
34,96,1
35,99,1
36,150,1
37,75,1
38,139,1
39,85,1
40,94,1
41,96,2
42,99,2
43,150,2
44,75,2
45,139,2
46,85,2
47,94,2
48,96,3
49,99,3
50,150,3
51,75,3
52,139,3
53,85,3
54,94,3
55,96,4
56,99,4
57,150,4
58,75,4
59,139,4
60,85,4
61,118,4
62,94,4
63,96,0
64,100,0
65,139,0
66,85,0
67,94,0
68,96,1
69,100,1
70,139,1
71,85,1
72,94,1
73,96,2
74,100,2
75,139,2
76,85,2
77,94,2
78,96,3
79,100,3
80,139,3
81,85,3
82,94,3
83,96,4
84,100,4
85,139,4
86,85,4
87,118,4
88,94,4
89,96,0
90,99,0
91,150,0
92,71,0
93,141,0
94,85,0
95,94,0
96,96,1
97,99,1
98,150,1
99,71,1
100,141,1
101,85,1
102,94,1
103,96,2
104,99,2
105,150,2
106,71,2
107,141,2
108,85,2
109,94,2
110,96,3
111,99,3
112,150,3
113,71,3
114,141,3
115,85,3
116,94,3
117,96,4
118,99,4
119,150,4
120,71,4
121,141,4
122,85,4
123,118,4
124,94,4
125,96,0
126,104,0
127,105,0
128,141,0
129,85,0
130,94,0
131,96,1
132,104,1
133,105,1
134,141,1
135,85,1
136,94,1
137,96,2
138,104,2
139,105,2
140,141,2
141,85,2
142,94,2
143,96,3
144,104,3
145,105,3
146,141,3
147,85,3
148,94,3
149,96,4
150,104,4
151,105,4
152,107,4
153,141,4
154,85,4
155,118,4
156,94,4
157,96,0
158,99,0
159,71,0
160,141,0
161,150,0
162,89,0
163,94,0
164,96,1
165,99,1
166,71,1
167,141,1
168,150,1
169,89,1
170,94,1
171,96,2
172,99,2
173,71,2
174,141,2
175,150,2
176,89,2
177,94,2
178,96,3
179,99,3
180,71,3
181,141,3
182,150,3
183,89,3
184,94,3
185,96,4
186,99,4
187,71,4
188,141,4
189,117,4
190,150,4
191,89,4
192,94,4
193,96,0
194,99,0
195,150,0
196,71,0
197,103,0
198,141,0
199,85,0
200,94,0
201,96,1
202,99,1
203,150,1
204,71,1
205,103,1
206,141,1
207,85,1
208,94,1
209,96,2
210,99,2
211,150,2
212,71,2
213,103,2
214,141,2
215,85,2
216,94,2
217,96,3
218,99,3
219,150,3
220,71,3
221,103,3
222,141,3
223,85,3
224,94,3
225,96,4
226,99,4
227,150,4
228,71,4
229,103,4
230,141,4
231,85,4
232,118,4
233,94,4
234,96,0
235,99,0
236,50,0
237,150,0
238,89,0
239,93,0
240,94,0
241,96,1
242,99,1
243,50,1
244,150,1
245,89,1
246,93,1
247,94,1
248,96,2
249,99,2
250,50,2
251,150,2
252,89,2
253,93,2
254,94,2
255,96,3
256,99,3
257,50,3
258,150,3
259,89,3
260,93,3
261,94,3
262,96,4
263,99,4
264,50,4
265,117,4
266,150,4
267,89,4
268,93,4
269,94,4
270,96,0
271,89,0
272,91,0
273,93,0
274,94,0
275,96,1
276,89,1
277,91,1
278,93,1
279,94,1
280,96,2
281,89,2
282,91,2
283,93,2
284,94,2
285,96,3
286,89,3
287,91,3
288,93,3
289,94,3
290,96,4
291,117,4
