graphicID,sofFactionName,graphicFile,sofHullName,sofRaceName,description
10,,res:/dx9/model/worldobject/planet/moon.red,,,
38,caldaribase,,cf1_t1,caldari,
39,caldaribase,,cf2_t1,caldari,
40,caldaribase,,cf4_t1,caldari,
41,caldaribase,,cc1_t1,caldari,
42,caldaribase,,cc3_t1,caldari,
43,caldaribase,,cb1_t1,caldari,
44,minmatarbase,,mf1_t1,minmatar,
45,minmatarbase,,mf2_t1,minmatar,
46,minmatarbase,,mf4_t1,minmatar,
47,minmatarbase,,mc1_t1,minmatar,
48,minmatarbase,,mb2_t1,minmatar,
49,caldaribase,,cc2_t1,caldari,
50,caldaribase,,cb2_t1,caldari,
51,caldaribase,,ci1_t1,caldari,
52,caldaribase,,ci2_t1,caldari,
53,minmatarbase,,mf3_t1,minmatar,
54,amarrbase,,af4_t1,amarr,
55,amarrbase,,af5_t1,amarr,
56,amarrbase,,af6_t1,amarr,
57,amarrbase,,ac2_t1,amarr,
58,amarrbase,,ac3_t1,amarr,
59,gallentebase,,gf2_t1,gallente,
60,gallentebase,,gf3_t1,gallente,
61,gallentebase,,gf4_t1,gallente,
62,gallentebase,,gc3_t1,gallente,
63,gallentebase,,gc4_t1,gallente,
64,gallentebase,,gb2_t1,gallente,
65,gallentebase,,gi1_t1,gallente,
66,police,,gf8_t1,gallente,
73,jovebase,,cap1_t1,jove,
170,caldaribase,res:/dx9/model/turret/Launcher/Torpedo/Torpedo_T1.red,,caldari,
202,,res:/dx9/model/WorldObject/planet/ShatteredPlanet.red,,,
235,caldaribase,,csg,caldari,
236,amarrbase,,asg,amarr,
237,caldaribase,,cs4,caldari,
296,amarrbase,,ab1_t1,amarr,
297,amarrbase,,ab2_t1,amarr,
298,amarrbase,,ac1_t1,amarr,
299,amarrbase,,af1_t1,amarr,
300,amarrbase,,af3_t1,amarr,
301,minmatarbase,,mb1_t1,minmatar,
302,minmatarbase,,mc2_t1,minmatar,
303,minmatarbase,,mc3_t1,minmatar,
304,minmatarbase,,mc4_t1,minmatar,
305,minmatarbase,,mf5_t1,minmatar,
306,minmatarbase,,mf6_t1,minmatar,
307,minmatarbase,,mf8_t1,minmatar,
308,minmatarbase,,mi1_t1,minmatar,
309,minmatarbase,,mi2_t1,minmatar,
310,minmatarbase,,mi3_t1,minmatar,
311,caldaribase,,cc4_t1,caldari,
312,caldaribase,,cf5_t1,caldari,
313,caldaribase,,cf6_t1,caldari,
314,caldaribase,,cf7_t1,caldari,
315,caldaribase,,cf8_t1,caldari,
316,caldaribase,,cf3_t1,caldari,
317,caldaribase,,cs1_t1,caldari,
318,gallentebase,,gb1_t1,gallente,
319,gallentebase,,gc1_t1,gallente,
320,gallentebase,,gc2_t1,gallente,
321,gallentebase,,gf1_t1,gallente,
322,gallentebase,,gf5_t1,gallente,
323,gallentebase,,gf6_t1,gallente,
324,gallentebase,,gf7_t1,gallente,
325,gallentebase,,gi2_t1,gallente,
326,gallentebase,,gi3_t1,gallente,
327,gallentebase,,gi4_t1,gallente,
328,gallentebase,,gi5_t1,gallente,
330,gallentebase,,gy1_t1,gallente,
335,angelbase,,angb1_t1,angel,
336,angelbase,,angc1_t1,angel,
337,angelbase,,angbc1_t1,angel,
338,angelbase,,angf1_t1,angel,
339,angelbase,,angf2_t1,angel,
340,angelbase,,angf3_t1,angel,
341,sanshabase,,sf3_t1,sansha,
342,angelbase,,angf5_t1,angel,
343,angelbase,,angf6_t1,angel,
344,angelbase,,angf7_t1,angel,
345,angelbase,,angf4_t1,angel,
1006,amarrbase,,asl_t1,amarr,
1009,orebase,,oredh1_t1,ore,
1010,ccp,,conf2_t1,concord,
1011,,res:/fisfx/lensflare/blue.red,,,
1012,,res:/fisfx/lensflare/orange.red,,,
1013,,res:/fisfx/lensflare/red.red,,,
1014,,res:/fisfx/lensflare/white.red,,,
1015,,res:/fisfx/lensflare/yellow.red,,,
1017,caldaribase,,cs3,caldari,
1018,caldaribase,,cs2,caldari,
1019,caldaribase,,cs1,caldari,
1021,debris,,ude1,generic,
1049,concordbase,,conf1_t1,concord,
1050,specops,,conc1_t1,concord,
