typeID,parentTypeID,metaGroupID
178,,1
179,,1
180,,1
181,,1
182,,1
183,,1
184,,1
185,,1
186,,1
187,,1
188,,1
189,,1
190,,1
191,,1
192,,1
193,,1
194,,1
195,,1
196,,1
197,,1
198,,1
199,,1
200,,1
201,,1
202,,1
203,,1
204,,1
205,,1
206,,1
207,,1
208,,1
209,,1
210,,1
211,,1
212,,1
213,,1
215,,1
216,,1
217,,1
218,,1
219,,1
220,,1
221,,1
222,,1
223,,1
224,,1
225,,1
226,,1
227,,1
228,,1
229,,1
230,,1
231,,1
232,,1
233,,1
234,,1
235,,1
236,,1
237,,1
238,,1
239,,1
240,,1
241,,1
242,,1
243,,1
244,,1
245,,1
246,,1
247,,1
248,,1
249,,1
250,,1
251,,1
252,,1
253,,1
254,,1
255,,1
256,,1
257,,1
258,,1
259,,1
260,,1
261,,1
262,,1
263,,1
264,,1
266,,1
267,,1
269,,1
377,,1
380,377,2
393,,1
394,393,2
399,,1
400,399,2
405,3586,3
406,,2
421,1195,3
434,,1
438,439,2
439,,1
440,434,2
442,,1
443,,1
444,,1
447,,1
448,447,2
450,,1
451,,1
452,,1
453,,1
454,,1
455,,1
456,,1
457,,1
458,,1
459,,1
460,,1
461,,1
462,,1
463,,1
464,,1
482,483,2
483,,1
484,,1
485,,1
486,,1
487,,1
488,,1
489,,1
490,,1
491,,1
492,,1
493,,1
494,,1
495,,1
496,,1
497,,1
498,,1
499,,1
501,,1
503,,1
506,1445,3
508,1254,3
509,1246,3
518,520,3
519,520,2
520,,1
521,2046,3
522,1185,3
523,,1
524,,1
526,,1
527,526,2
529,,1
530,,1
533,,1
561,,1
562,,1
563,,1
564,,1
565,,1
566,,1
567,,1
568,,1
569,,1
570,,1
571,,1
572,,1
573,,1
574,,1
575,,1
577,,1
578,,1
580,,1
581,,1
582,,1
583,,1
584,,1
585,,1
586,,1
587,,1
589,,1
590,,1
592,,1
593,,1
594,,1
597,,1
598,,1
599,,1
602,,1
603,,1
605,,1
607,,1
608,,1
609,,1
615,,4
617,,4
620,,1
621,,1
622,,1
623,,1
624,,1
625,,1
626,,1
627,,1
628,,1
629,,1
630,,1
631,,1
632,,1
633,,1
634,,1
635,,1
638,,1
639,,1
640,,1
641,,1
642,,1
643,,1
644,,1
645,,1
648,,1
649,,1
650,,1
652,,1
653,,1
655,,1
656,,1
670,,1
671,,1
672,,1
784,,2
962,,4
964,,4
1013,,2
1027,,2
1033,,2
1071,,2
1073,,2
1080,,2
1095,,2
1103,,2
1182,,1
1183,523,2
1184,,2
1185,,1
1190,529,2
1191,,2
1192,1244,3
1193,,3
1195,,1
1196,,1
1197,,1
1198,1197,2
1201,,1
1202,,1
1205,,2
1236,1244,2
1237,,2
1240,1333,3
1242,2603,3
1244,,1
1246,,1
1248,1246,2
1249,,2
1254,,1
1256,1254,2
1257,,2
1262,,3
1264,,1
1266,1264,2
1267,,2
1272,,3
1274,,1
1276,1274,2
1277,,2
1282,,3
1284,,1
1286,1284,2
1287,,2
1292,,3
1294,,1
1296,1294,2
1297,,2
1302,,3
1304,,1
1306,1304,2
1307,,2
1315,1317,3
1317,,1
1319,1317,2
1320,,2
1333,,1
1335,1333,2
1336,,2
1351,1353,3
1353,,1
1355,1353,2
1356,,2
1401,1403,3
1403,,1
1405,1403,2
1406,,2
1419,2331,3
1422,2331,2
1423,,2
1436,1182,2
1437,,2
1445,,1
1446,,1
1447,1445,2
1448,,2
1537,1539,3
1539,,1
1540,,1
1541,1539,2
1542,,2
1547,,1
1549,1547,2
1550,,2
1551,,1
1553,1551,2
1554,,2
1557,,1
1559,1557,2
1560,,2
1563,,1
1565,1563,2
1566,,2
1798,1808,3
1800,2537,3
1802,2545,3
1804,2529,3
1808,,1
1810,,1
1814,,1
1816,,1
1818,,1
1820,,1
1822,,1
1824,,1
1826,,1
1828,,1
1830,,1
1832,,1
1855,443,2
1856,,2
1875,,1
1877,1875,2
1878,,2
1893,2363,3
1944,,1
1946,,1
1947,,1
1948,,1
1949,1986,3
1951,1998,3
1952,1973,2
1955,,1
1956,,1
1957,,1
1958,,1
1959,,1
1960,1959,2
1963,,1
1964,1963,2
1968,,1
1969,1968,2
1973,,1
1977,,1
1978,1977,2
1982,,1
1983,,1
1984,,1
1985,,1
1986,,1
1987,1986,2
1998,,1
1999,1998,2
2002,,1
2003,,1
2004,,1
2005,,1
2006,,1
2018,,1
2020,,1
2022,,1
2024,577,2
2025,,2
2032,1195,2
2033,,2
2038,442,2
2039,,2
2046,,1
2047,,1
2048,2046,2
2049,,2
2050,578,6
2103,,1
2104,2103,2
2108,,1
2109,2108,2
2117,580,2
2118,,2
2129,2524,1
2130,2524,1
2131,2524,1
2132,2524,1
2133,2524,1
2134,2534,1
2135,2534,1
2136,2534,1
2137,2534,1
2138,2534,1
2139,2533,1
2140,2533,1
2141,2533,1
2142,2533,1
2143,2533,1
2144,2549,1
2145,2549,1
2146,2549,1
2147,2549,1
2148,2549,1
2149,2525,1
2150,2525,1
2151,2525,1
2152,2525,1
2153,2525,1
2154,2551,1
2155,2551,1
2156,2551,1
2157,2551,1
2158,2551,1
2159,2550,1
2160,2550,1
2161,,1
2173,,1
2175,2173,2
2176,,2
2178,32438,4
2180,32436,4
2182,32440,4
2183,,1
2185,2183,2
2186,,2
2188,32442,4
2193,,1
2195,2193,2
2196,,2
2203,,1
2205,2203,2
2206,,2
2254,,1
2258,2005,2
2259,2004,2
2260,2002,2
2261,2003,2
2262,1947,2
2281,578,2
2282,,2
2289,,1
2291,,1
2293,,1
2295,,1
2297,2289,2
2298,,2
2299,2291,2
2300,,2
2301,2293,2
2302,,2
2303,2295,2
2304,,2
2331,,1
2333,444,2
2334,,2
2341,581,2
2342,,2
2355,524,2
2356,,2
2363,,1
2364,2363,2
2372,11023,1
2404,499,2
2405,,2
2410,501,2
2411,,2
2420,503,2
2421,,2
2436,1201,2
2437,,2
2444,,1
2446,2444,2
2447,,2
2454,,1
2456,2454,2
2457,,2
2464,,1
2466,2464,2
2467,,2
2476,,1
2478,2476,2
2479,,2
2486,,1
2488,2486,2
2489,,2
2506,,1
2508,,1
2510,,1
2512,,1
2514,,1
2516,,1
2524,,1
2525,,1
2529,,1
2531,2529,2
2532,,2
2533,,1
2534,,1
2537,,1
2539,2537,2
2540,,2
2545,,1
2547,2545,2
2548,,2
2549,,1
2550,,1
2551,,1
2553,1808,2
2554,,2
2559,1958,2
2563,1948,2
2567,1957,2
2571,1955,2
2574,2550,1
2575,1956,2
2576,2550,1
2577,2550,1
2578,2254,1
2579,,1
2580,2579,2
2581,2254,1
2582,2254,1
2583,,1
2584,2583,2
2585,2254,1
2586,2254,1
2587,,1
2588,2587,2
2591,,1
2592,2591,2
2603,,1
2605,2603,2
2606,,2
2613,212,2
2614,,2
2621,204,2
2622,,2
2629,209,2
2630,,2
2637,204,2
2638,,2
2647,211,2
2648,,2
2655,206,2
2656,,2
2679,20307,2
2680,,2
2801,2508,2
2802,,2
2811,2510,2
2812,,2
2817,2512,2
2818,,2
2834,,4
2835,,4
2836,,4
2837,,4
2838,,4
2863,,1
2865,497,2
2866,,2
2873,484,2
2874,,2
2881,485,2
2889,486,2
2890,,2
2897,490,2
2898,,2
2905,487,2
2906,,2
2913,491,2
2914,,2
2921,492,2
2922,,2
2929,496,2
2937,489,2
2938,,2
2945,494,2
2946,,2
2948,,4
2949,,4
2953,495,2
2954,,2
2961,498,2
2962,,2
2969,493,2
2970,,2
2977,488,2
2978,,2
2985,461,2
2986,,2
2993,452,2
2994,,2
2998,2863,1
3001,451,2
3002,,2
3009,457,2
3010,,2
3017,450,2
3018,,2
3025,459,2
3026,,2
3033,454,2
3034,,2
3039,,1
3041,453,2
3042,,2
3049,463,2
3050,,2
3057,462,2
3058,,2
3065,464,2
3066,,2
3074,565,2
3075,,2
3082,570,2
3083,,2
3090,574,2
3091,,2
3098,561,2
3099,,2
3106,567,2
3107,,2
3114,572,2
3115,,2
3122,571,2
3123,,2
3130,566,2
3131,,2
3138,569,2
3139,,2
3146,568,2
3147,,2
3154,575,2
3155,,2
3162,562,2
3163,,2
3170,563,2
3171,,2
3178,564,2
3179,,2
3186,573,2
3187,,2
3218,10246,4
3242,,1
3244,3242,2
3245,,2
3285,455,2
3286,,2
3469,3887,3
3472,2022,2
3473,,2
3480,,2
3488,1185,2
3489,,2
3496,2018,2
3497,,2
3504,2020,2
3505,,2
3512,456,2
3513,,2
3514,,4
3515,,4
3516,,4
3517,,4
3518,,4
3519,,4
3520,458,2
3521,,2
3528,,1
3530,3528,2
3531,,2
3532,,4
3534,20701,4
3535,,4
3536,24569,4
3537,,4
3538,,1
3540,3538,2
3541,,2
3542,20703,4
3543,,4
3544,3616,4
3545,,4
3546,20450,4
3547,,4
3550,20448,4
3552,,1
3554,,1
3556,,1
3557,,4
