licenseTypeID,duration,skinID
34599,-1,187
34600,-1,188
34601,-1,44
34602,-1,45
34603,-1,9
34604,-1,10
34605,-1,1093
34606,-1,12
34607,-1,13
34608,-1,1098
34609,-1,15
34610,-1,16
34611,-1,222
34612,-1,18
34613,-1,1100
34614,-1,20
34615,-1,24
34616,-1,25
34617,-1,26
34618,-1,27
34619,-1,1066
34620,-1,29
34621,-1,30
34623,-1,32
34624,-1,33
34625,-1,34
34626,-1,35
34627,-1,37
34628,-1,38
34629,-1,39
34630,-1,40
34631,-1,41
34632,-1,42
34633,-1,43
34634,-1,23
34635,-1,8
34636,-1,61
34637,-1,62
34638,-1,63
34639,-1,64
34640,-1,5
34641,-1,65
34642,-1,66
34643,-1,67
34645,-1,68
34646,-1,69
34647,-1,70
34648,-1,71
34649,-1,72
34650,-1,73
34651,-1,74
34652,-1,75
34653,-1,76
34654,-1,77
34655,-1,78
34656,-1,79
34657,-1,80
34658,-1,81
34659,-1,82
34660,-1,83
34661,-1,84
34662,-1,85
34663,-1,86
34664,-1,87
34665,-1,88
34666,-1,89
34667,-1,90
34668,-1,91
34669,-1,92
34670,-1,93
34671,-1,94
34672,-1,95
34673,-1,96
34674,-1,97
34675,-1,98
34676,-1,99
34677,-1,100
34678,-1,101
34679,-1,102
34680,-1,103
34681,-1,104
34682,-1,105
34683,-1,106
34684,-1,107
34685,-1,108
34686,-1,109
34687,-1,110
34688,-1,111
34689,-1,112
34690,-1,113
34691,-1,114
34692,-1,115
34693,-1,116
34694,-1,117
34695,-1,118
34696,-1,119
34697,-1,120
34698,-1,121
34699,-1,122
34700,-1,123
34701,-1,1119
34702,-1,125
34703,-1,126
34704,-1,127
34705,-1,1123
34706,-1,129
34707,-1,130
34708,-1,131
34709,-1,132
34710,-1,133
34711,-1,134
34712,-1,135
34713,-1,1055
34714,-1,137
34715,-1,138
34716,-1,1058
34718,-1,140
34719,-1,141
34720,-1,142
34721,-1,143
34722,-1,144
34723,-1,145
34724,-1,146
34725,-1,147
34726,-1,148
34727,-1,149
34728,-1,150
34729,-1,151
34730,-1,152
34731,-1,153
34732,-1,154
34733,-1,155
34734,-1,156
34735,-1,157
34736,-1,158
34737,-1,159
34738,-1,160
34739,-1,161
34740,-1,162
34741,-1,163
34742,-1,164
