skinID,internalName,skinMaterialID
5,Megathron Quafe,3
8,Dominix Quafe,3
9,Oracle Khanid,4
10,Oracle Sarum,5
11,Prophecy Blood Raiders,25
12,Prophecy Kador,2
13,Prophecy Tash-Murkon,6
14,Ferox Guristas,26
15,Ferox Laidai,9
16,Naga Wiyrkomi,12
17,Brutix Inner Zone Shipping,15
18,Brutix Intaki Syndicate,16
19,Brutix Serpentis,29
20,Myrmidon Intaki Syndicate,16
23,Dominix Intaki Syndicate,16
24,Myrmidon InterBus,17
25,Talos Duvolle,14
26,Talos InterBus,17
27,Cyclone Krusual,22
28,Cyclone Thukker Tribe,24
29,Hurricane Sebiestor,23
30,Tornado Nefantar,21
32,Abaddon Kador,2
33,Abaddon Tash-Murkon,6
34,Armageddon Kador,2
35,Armageddon Tash-Murkon,6
37,Apocalypse Ardishapur,1
38,Apocalypse Khanid,4
39,Raven Wiyrkomi,12
40,Rokh Nugoeihuvi,10
41,Rokh Wiyrkomi,12
42,Scorpion Ishukone,7
43,Dominix Inner Zone Shipping,15
44,Harbinger Kador,2
45,Harbinger Khanid,4
61,Hyperion Aliastra,13
62,Hyperion Inner Zone Shipping,15
63,Megathron Inner Zone Shipping,15
64,Megathron Intaki Syndicate,16
65,Maelstrom Krusual,22
66,Maelstrom Nefantar,21
67,Typhoon Krusual,22
68,Orca Nocx Rush,31
69,Rorqual Nocx Rush,31
70,Archon Kador,2
71,Archon Tash-Murkon,6
72,Aeon Khanid,4
73,Aeon Sarum,5
74,Chimera Laidai,9
75,Wyvern Wiyrkomi,12
76,Thanatos Quafe,3
77,Thanatos Roden,19
78,Nyx InterBus,17
79,Nyx Quafe,3
80,Nidhoggur Krusual,22
81,Hel Sebiestor,23
82,Revelation Kador,2
83,Revelation Sarum,5
84,Phoenix Laidai,9
85,Phoenix Wiyrkomi,12
86,Moros InterBus,17
87,Moros Roden,19
88,Naglfar Justice,20
89,Providence Ardishapur,1
90,Providence Kador,2
91,Charon Wiyrkomi,12
92,Obelisk Inner Zone Shipping,15
93,Obelisk Quafe,3
94,Fenrir Krusual,22
95,Avatar Kador,2
96,Avatar Khanid,4
97,Erebus Duvolle,14
98,Erebus InterBus,17
99,Arbitrator Ardishapur,1
100,Arbitrator Kador,2
101,Augoror Ardishapur,1
102,Augoror Khanid,4
103,Maller Kador,2
104,Maller Tash-Murkon,6
105,Omen Kador,2
106,Omen Sarum,5
107,Omen Tash-Murkon,6
108,Caracal Nugoeihuvi,10
109,Caracal Wiyrkomi,12
110,Moa Laidai,9
111,Osprey Wiyrkomi,12
112,Celestis Intaki Syndicate,16
113,Celestis InterBus,17
114,Exequror Intaki Syndicate,16
115,Thorax Aliastra,13
116,Thorax Inner Zone Shipping,15
117,Vexor Intaki Syndicate,16
118,Vexor InterBus,17
119,Vexor Quafe,3
120,Bellicose Krusual,22
121,Stabber Krusual,22
122,Stabber Nefantar,21
123,Coercer Ardishapur,1
124,Coercer Blood Raiders,25
125,Coercer Sarum,5
126,Dragoon Khanid,4
127,Dragoon Tash-Murkon,6
128,Cormorant Guristas,26
129,Algos Intaki Syndicate,16
130,Algos InterBus,17
131,Catalyst Aliastra,13
132,Catalyst Inner Zone Shipping,15
133,Catalyst Intaki Syndicate,16
134,Catalyst InterBus,17
135,Catalyst Quafe,3
136,Catalyst Serpentis,29
137,Talwar Sebiestor,23
138,Thrasher Nefantar,21
139,Thrasher Thukker Tribe,24
140,Comet Federal Police Pursuit,18
141,Crucifier Kador,2
142,Crucifier Sarum,5
143,Executioner Ardishapur,1
144,Executioner Kador,2
145,Inquisitor Khanid,4
146,Inquisitor Tash-Murkon,6
147,Magnate Ardishapur,1
148,Magnate Sarum,5
149,Magnate Tash-Murkon,6
150,Punisher Kador,2
151,Punisher Tash-Murkon,6
152,Tormentor Ardishapur,1
153,Tormentor Sarum,5
154,Heron Sukuuvestaa,11
155,Kestrel Wiyrkomi,12
156,Merlin Nugoeihuvi,10
157,Merlin Wiyrkomi,12
158,Atron Intaki Syndicate,16
159,Atron InterBus,17
160,Imicus Inner Zone Shipping,15
161,Imicus Intaki Syndicate,16
162,Incursus Aliastra,13
163,Incursus Inner Zone Shipping,15
164,Maulus Inner Zone Shipping,15
165,Maulus Intaki Syndicate,16
166,Navitas Intaki Syndicate,16
167,Tristan Inner Zone Shipping,15
168,Tristan Quafe,3
170,Rifter Krusual,22
171,Rifter Nefantar,21
172,Slasher Krusual,22
173,Vigil Krusual,22
174,Bestower Tash-Murkon,6
175,Sigil Kador,2
176,Tayra Wiyrkomi,12
179,Mammoth Nefantar,21
180,Hulk Nocx Rush,31
181,Mackinaw Nocx Rush,31
182,Skiff Nocx Rush,31
183,Probe Vherokior,30
184,Iteron Mark V Inner Zone Shipping,15
185,Iteron Mark V InterBus,17
187,Apocalypse Kador,2
188,Apocalypse Tash-Murkon,6
189,Eagle Serenity YC117,56
190,Ishtar Serenity YC117,80
191,Gila Serenity YC117,55
192,Drake Serenity YC117,54
193,Abaddon Serenity YC117,41
194,Apocalypse Serenity YC117,53
195,Apocalypse Blood Raiders,25
196,Armageddon Serenity YC117,40
197,Raven Serenity YC117,52
198,Raven Guristas,26
199,Raven Kaalakiota,8
200,Raven Nugoeihuvi,10
201,Dominix Serenity YC117,50
202,Megathron Serenity YC117,51
203,Megathron Federal Police,18
204,Tempest Justice,20
205,Tempest Krusual,22
206,Tempest Nefantar,21
207,Paladin Blood Raider,25
208,Paladin Kador,2
209,Paladin Tash-Murkon,6
210,Golem Guristas,26
211,Golem Kaalakiota,8
212,Golem Nugoeihuvi,10
213,Kronos Inner Zone Shipping,15
214,Kronos Federal Police,18
215,Kronos Quafe,3
216,Vargur Justice,20
217,Vargur Krusual,22
218,Vargur Nefantar,21
219,Machariel Serenity YC117,42
220,Rattlesnake Serenity YC117,43
222,Brutix Roden,19
1014,Caracal Nugoeihuvi Serenity Only,10
1015,Caracal Wiyrkomi Serenity Only,12
1016,Augoror Khanid Serenity Only,4
1017,Maller Kador Serenity Only,2
1018,Arbitrator Kador Serenity Only,2
1019,Augoror Ardishapur Serenity Only,1
1020,Omen Sarum Serenity Only,5
1021,Omen Tash-Murkon Serenity Only,6
1022,Maller Tash-Murkon Serenity Only,6
1023,Omen Kador Serenity Only,2
1024,Raven Wiyrkomi Serenity Only,12
1025,Apocalypse Khanid Serenity Only,4
1026,Abaddon Tash-Murkon Serenity Only,6
1027,Abaddon Kador Serenity Only,2
1028,Tornado Nefantar Serenity Only,21
1029,Apocalypse Ardishapur Serenity Only,1
1030,Armageddon Tash-Murkon Serenity Only,6
1031,Armageddon Kador Serenity Only,2
1032,Arbitrator Ardishapur Serenity Only,1
1033,Erebus InterBus Serenity Only,17
1034,Charon Wiyrkomi Serenity Only,12
1035,Providence Kador Serenity Only,2
1036,Obelisk Quafe Serenity Only,3
1037,Obelisk Inner Zone Shipping Serenity Only,15
1038,Avatar Kador Serenity Only,2
1039,Fenrir Krusual Serenity Only,22
1040,Erebus Duvolle Serenity Only,14
1041,Avatar Khanid Serenity Only,4
1042,Inquisitor Tash-Murkon Serenity Only,6
1043,Magnate Ardishapur Serenity Only,1
1044,Executioner Kador Serenity Only,2
1045,Crucifier Sarum Serenity Only,5
1046,Executioner Ardishapur Serenity Only,1
1047,Comet Police Pursuit Serenity Only,18
1048,Crucifier Kador Serenity Only,2
1049,Magnate Sarum Serenity Only,5
1050,Catalyst Intaki Syndicate Serenity Only,16
1051,Catalyst Inner Zone Shipping Serenity Only,15
1052,Catalyst Aliastra Serenity Only,13
1053,Algos InterBus Serenity Only,17
1054,Talwar Sebiestor Serenity Only,23
1055,Catalyst Serpentis Serenity Only,29
1056,Catalyst Quafe Serenity Only,3
1057,Catalyst InterBus Serenity Only,17
1058,Thrasher Thukker Tribe Serenity Only,24
1059,Thrasher Nefantar Serenity Only,21
1060,Myrmidon InterBus Serenity Only,17
1061,Talos Duvolle Serenity Only,14
1062,Talos InterBus Serenity Only,17
1063,Cyclone Krusual Serenity Only,22
1064,Myrmidon Intaki Syndicate Serenity Only,16
1065,Dominix Intaki Syndicate Serenity Only,16
1066,Cyclone Thukker Tribe Serenity Only,24
1067,Hurricane Sebiestor Serenity Only,23
1068,Inquisitor Khanid Serenity Only,4
1069,Tayra Wiyrkomi Serenity Only,12
1070,Revelation Kador Serenity Only,2
1071,Revelation Sarum Serenity Only,5
1072,Hel Sebiestor Serenity Only,23
1073,Moros InterBus Serenity Only,17
1074,Moros Roden Serenity Only,19
1075,Phoenix Laidai Serenity Only,9
1076,Phoenix Wiyrkomi Serenity Only,12
1077,Magnate Tash-Murkon Serenity Only,6
1078,Mammoth Nefantar Serenity Only,21
1079,Sigil Kador Serenity Only,2
1080,Bestower Tash-Murkon Serenity Only,6
1081,Vigil Krusual Serenity Only,22
1082,Slasher Krusual Serenity Only,22
1083,Rifter Nefantar Serenity Only,21
1084,Rifter Krusual Serenity Only,22
1085,Skiff ORE Development Serenity Only,31
1086,Probe Vherokior Serenity Only,30
1087,Hulk ORE Development Serenity Only,31
1088,Mackinaw ORE Development Serenity Only,31
1089,Apocalypse Kador Serenity Only,2
1090,Iteron Mark V Inner Zone Shipping Serenity Only,15
1091,Iteron Mark V InterBus Serenity Only,17
1092,Apocalypse Tash-Murkon Serenity Only,6
1093,Prophecy Blood Raiders Serenity Only,25
1094,Oracle Sarum Serenity Only,5
1095,Prophecy Tash-Murkon Serenity Only,6
1096,Prophecy Kador Serenity Only,2
1097,Ferox Laidai Serenity Only,9
1098,Ferox Guristas Serenity Only,26
1099,Naga Wiyrkomi Serenity Only,12
1100,Brutix Serpentis Serenity Only,29
1101,Brutix Intaki Syndicate Serenity Only,16
1102,Tempest Krusual Serenity Only,22
1103,Tempest Nefantar Serenity Only,21
1104,Thanatos Roden Serenity Only,19
1105,Thanatos Quafe Serenity Only,3
1106,Wyvern Wiyrkomi Serenity Only,12
1107,Chimera Laidai Serenity Only,9
1108,Aeon Sarum Serenity Only,5
1109,Aeon Khanid Serenity Only,4
1110,Archon Tash-Murkon Serenity Only,6
1111,Archon Kador Serenity Only,2
1112,Nyx Quafe Serenity Only,3
1113,Nyx InterBus Serenity Only,17
1114,Dominix Quafe Serenity Only,3
1115,Bellicose Krusual Serenity Only,22
1116,Stabber Krusual Serenity Only,22
1117,Stabber Nefantar Serenity Only,21
1118,Coercer Ardishapur Serenity Only,1
1119,Coercer Blood Raiders Serenity Only,25
