operationID,serviceID
1,3
1,5
1,7
1,17
1,19
1,22
1,23
1,25
1,26
2,3
2,5
2,7
2,17
2,19
2,20
2,22
2,23
2,25
2,26
3,3
3,5
3,7
3,17
3,19
3,20
3,22
3,23
3,25
3,26
4,1
4,3
4,5
4,7
4,13
4,14
4,17
4,19
4,20
4,21
4,22
4,23
4,25
4,26
5,1
5,3
5,5
5,7
5,13
5,14
5,17
5,19
5,20
5,21
5,22
5,23
5,25
5,26
6,1
6,3
6,5
6,7
6,13
6,14
6,17
6,19
6,20
6,21
6,22
6,23
6,25
6,26
7,1
7,3
7,5
7,6
7,7
7,13
7,17
7,19
7,21
7,22
7,23
7,25
7,26
8,1
8,3
8,5
8,6
8,7
8,13
8,17
8,19
8,21
8,22
8,23
8,25
8,26
9,1
9,3
9,5
9,7
9,13
9,17
9,19
9,20
9,21
9,22
9,23
9,25
9,26
10,1
10,3
10,5
10,6
10,7
10,13
10,14
10,15
10,17
10,19
10,21
10,22
10,23
10,25
10,26
11,1
11,3
11,5
11,6
11,7
11,13
11,14
11,15
11,17
11,19
11,21
11,22
11,23
11,25
11,26
12,1
12,3
12,5
12,7
12,13
12,14
12,17
12,19
12,20
12,21
12,22
12,23
12,25
12,26
13,1
13,3
13,5
13,7
13,13
13,14
13,15
13,17
13,19
13,21
13,22
13,23
13,25
13,26
13,27
14,1
14,3
14,5
14,7
14,13
14,14
14,17
14,19
14,21
14,22
14,23
14,25
14,26
14,27
15,1
15,3
15,5
15,7
15,10
15,11
15,13
15,17
15,19
15,21
15,22
15,23
15,25
15,26
15,27
16,1
16,3
16,5
16,7
16,10
16,11
16,12
16,15
16,17
16,19
16,21
16,22
16,23
16,25
16,26
17,1
17,3
17,5
17,7
17,10
17,11
17,12
17,14
17,17
17,19
17,21
17,22
17,23
17,25
17,26
18,3
18,5
18,7
18,10
18,15
18,17
18,19
18,21
18,22
18,23
18,25
18,26
19,1
19,3
19,5
19,6
19,7
19,10
19,11
19,12
19,13
19,15
19,17
19,19
19,21
19,22
19,23
19,25
19,26
20,1
20,3
20,4
20,5
20,6
20,7
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
20,19
20,20
20,21
20,22
20,23
20,25
20,26
21,1
21,3
21,5
21,7
21,10
21,13
21,17
21,19
21,20
21,21
21,22
21,23
21,25
21,26
22,1
22,3
22,4
22,5
22,7
22,9
22,16
22,17
22,19
22,21
22,22
22,23
22,25
22,26
23,1
23,3
23,4
23,5
23,7
23,9
23,16
23,17
23,19
23,21
23,22
23,23
23,25
23,26
24,1
24,3
24,4
24,5
24,7
24,13
24,14
24,17
24,18
24,19
24,21
24,22
24,23
24,25
24,26
25,1
25,3
25,5
25,7
25,13
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,25
25,26
26,3
26,5
26,7
26,13
26,17
